City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,25.91,75,9,7.14,PF,1675620588
1,mataura,-46.1927,168.8643,14.37,90,99,4.49,NZ,1675620579
2,atuona,-9.8,-139.0333,25.72,78,11,7.54,PF,1675620589
3,andenes,69.3143,16.1194,3.99,48,0,11.83,NO,1675620590
4,luba,3.4568,8.5547,27.61,81,44,4.48,GQ,1675620591
5,bluff,-46.6,168.3333,15.22,87,94,15.03,NZ,1675620143
6,dingle,10.9995,122.6711,23.33,92,100,3.28,PH,1675620330
7,busselton,-33.65,115.3333,18.81,84,6,6.4,AU,1675620142
8,nuuk,64.1835,-51.7216,-10.66,79,75,4.63,GL,1675620593
9,tasiilaq,65.6145,-37.6368,-3.91,83,100,4.07,GL,1675620593
10,los llanos de aridane,28.6585,-17.9182,16.86,77,75,5.14,ES,1675620594
11,constitucion,-35.3333,-72.4167,20.67,70,43,3.65,CL,1675620596
12,tuktoyaktuk,69.4541,-133.0374,-43.0,66,20,1.03,CA,1675620150
13,severo-kurilsk,50.6789,156.125,-4.39,79,94,3.47,RU,1675620598
14,canutama,-6.5339,-64.3831,28.36,81,85,0.42,BR,1675620599
15,nur,52.6683,22.3221,-4.39,84,54,2.75,PL,1675620599
16,hilo,19.7297,-155.09,23.49,95,100,2.57,US,1675620600
17,derzhavinsk,51.1,66.3167,-11.12,97,86,3.02,KZ,1675620601
18,georgetown,5.4112,100.3354,24.97,99,40,1.03,MY,1675620317
19,punta arenas,-53.15,-70.9167,11.06,50,0,14.92,CL,1675620138
20,qaanaaq,77.484,-69.3632,-19.33,63,0,3.89,GL,1675620137
21,spencer,43.1414,-95.1444,-0.94,79,0,2.57,US,1675620603
22,shubarkuduk,49.1447,56.4872,-15.64,92,92,3.44,KZ,1675620603
23,alofi,-19.0595,-169.9187,26.74,76,100,6.34,NU,1675620604
24,raga,8.4596,25.678,26.09,14,56,1.8,SS,1675620605
25,iranshahr,27.2025,60.6848,17.53,51,0,0.47,IR,1675620606
26,jamestown,42.097,-79.2353,6.21,33,100,6.69,US,1675620095
27,nikolskoye,59.7035,30.7861,-5.05,83,100,3.29,RU,1675620588
28,havre-saint-pierre,50.2334,-63.5986,-17.8,78,100,5.14,CA,1675620608
29,acarau,-2.8856,-40.12,28.69,69,84,6.67,BR,1675620609
30,saskylakh,71.9167,114.0833,-40.41,100,100,1.77,RU,1675620610
31,barcelona,41.3888,2.159,13.44,65,0,2.06,ES,1675620005
32,tigil,57.8,158.6667,-28.08,100,94,1.0,RU,1675620611
33,puerto ayora,-0.7393,-90.3518,29.98,86,39,3.58,EC,1675620612
34,east london,-33.0153,27.9116,25.52,83,0,4.63,ZA,1675620111
35,beringovskiy,63.05,179.3167,-28.5,93,99,5.45,RU,1675620613
36,kutum,14.2,24.6667,22.25,11,57,2.11,SD,1675620592
37,amot,59.5714,7.9877,-5.96,93,98,2.22,NO,1675620614
38,izumo,35.3667,132.7667,2.56,80,3,2.67,JP,1675620615
39,ushuaia,-54.8,-68.3,6.81,65,75,14.4,AR,1675620134
40,san patricio,28.017,-97.5169,24.93,64,0,2.5,US,1675620616
41,torbay,47.6666,-52.7314,-2.46,75,38,3.13,CA,1675620617
42,margate,51.3813,1.3862,6.5,80,95,2.68,GB,1675620618
43,aklavik,68.2191,-135.0107,-42.96,100,45,0.41,CA,1675620619
44,pochutla,15.7432,-96.4661,31.9,39,0,3.5,MX,1675620620
45,matagami,49.7502,-77.6328,-16.94,71,40,1.54,CA,1675620621
46,kapaa,22.0752,-159.319,23.18,91,100,7.2,US,1675620621
47,kodiak,57.79,-152.4072,1.73,100,100,14.4,US,1675620152
48,upernavik,72.7868,-56.1549,-26.05,96,99,0.73,GL,1675620622
49,willowmore,-33.2926,23.4895,21.27,67,11,7.18,ZA,1675620623
50,hobart,-42.8794,147.3294,14.47,76,94,3.09,AU,1675620582
51,avera,33.194,-82.5271,15.77,61,100,1.49,US,1675620152
52,mountain home,43.133,-115.6912,3.97,82,75,3.09,US,1675620625
53,iqaluit,63.7506,-68.5145,-29.06,68,100,9.77,CA,1675620625
54,cabo san lucas,22.8909,-109.9124,28.12,56,0,2.06,MX,1675620435
55,bethel,41.3712,-73.414,7.32,46,0,3.6,US,1675620570
56,kontagora,10.3999,5.4695,32.0,11,76,0.41,NG,1675620628
57,puerto el triunfo,13.2833,-88.55,31.87,38,4,1.36,SV,1675620628
58,ahipara,-35.1667,173.1667,17.54,93,98,3.44,NZ,1675620629
59,thompson,55.7435,-97.8558,-17.91,78,100,1.03,CA,1675620149
60,fortuna,40.5982,-124.1573,9.25,95,75,0.89,US,1675620630
61,pinyug,60.251,47.7842,-17.58,100,95,0.7,RU,1675620631
62,lagoa,39.05,-27.9833,15.32,84,68,8.32,PT,1675620632
63,teteven,42.9167,24.2667,-4.66,97,100,1.92,BG,1675620632
64,dikson,73.5069,80.5464,-19.84,97,100,1.11,RU,1675620633
65,xining,36.6167,101.7667,-4.11,53,5,1.23,CN,1675620633
66,port elizabeth,-33.918,25.5701,26.17,96,38,3.58,ZA,1675620634
67,cairns,-16.9167,145.7667,26.7,97,40,2.06,AU,1675620635
68,poplar bluff,36.757,-90.3929,12.96,58,0,1.54,US,1675620635
69,luderitz,-26.6481,15.1594,20.06,71,14,9.71,NA,1675620636
70,sao felix do xingu,-6.6447,-51.995,32.02,51,96,0.99,BR,1675620637
71,sorland,67.667,12.6934,3.92,61,97,9.22,NO,1675620637
72,gori,41.9842,44.1158,2.52,58,82,3.24,GE,1675620638
73,kokoda,-8.8785,147.7407,23.88,92,100,1.01,PG,1675620639
74,port lincoln,-34.7333,135.8667,16.05,84,4,4.88,AU,1675620640
75,avarua,-21.2078,-159.775,27.03,83,75,5.66,CK,1675620595
76,mongar,27.2747,91.2396,5.78,70,4,2.59,BT,1675620641
77,new norfolk,-42.7826,147.0587,14.28,63,96,1.34,AU,1675620637
78,imbituba,-28.24,-48.6703,26.87,60,26,4.36,BR,1675620642
79,clyde river,70.4692,-68.5914,-26.52,84,100,1.28,CA,1675620643
80,longyearbyen,78.2186,15.6401,-4.09,74,40,16.98,SJ,1675620150
81,ilulissat,69.2167,-51.1,-22.36,98,100,2.75,GL,1675619965
82,kaitangata,-46.2817,169.8464,13.11,91,97,2.89,NZ,1675620113
83,conceicao do rio verde,-21.8808,-45.0853,25.01,77,76,3.2,BR,1675620645
84,castro,-24.7911,-50.0119,23.89,64,78,2.4,BR,1675620645
85,ambon,-3.6954,128.1814,24.08,94,75,1.03,ID,1675620646
86,cape town,-33.9258,18.4232,22.84,79,20,8.75,ZA,1675620007
87,fuerte olimpo,-21.0415,-57.8738,33.21,42,45,2.11,PY,1675620647
88,hithadhoo,-0.6,73.0833,27.3,70,69,4.98,MV,1675620648
89,kano,12.0001,8.5167,29.58,12,91,3.61,NG,1675620649
90,kot samaba,28.5522,70.4684,20.03,29,0,1.31,PK,1675620650
91,nachingwea,-10.3833,38.7667,22.83,89,85,0.92,TZ,1675620650
92,victoria,22.2855,114.1577,19.41,88,87,1.34,HK,1675620492
93,sioux lookout,50.1001,-91.917,-13.16,83,83,2.02,CA,1675620651
94,caravelas,-17.7125,-39.2481,30.07,61,0,5.91,BR,1675620652
95,awbari,26.5921,12.7805,13.39,37,13,3.51,LY,1675620653
96,greytown,-29.0642,30.5928,17.02,97,45,1.08,ZA,1675620654
97,iwaki,37.05,140.8833,3.2,76,96,2.19,JP,1675620654
